,Rank,City,State,Land area (sqmi),Land area (km2),Water area (sqmi),Water area (km2),Total area (sqmi),Total area (km2),Population (2010)
0,1, Sitka,Alaska,"2,870.3","7,434","1,941.0","5,027","4,811.4","12,461","8,881"
1,2, Juneau,Alaska,"2,701.9","6,998",552.0,"1,430","3,253.9","8,428","31,275"
2,3, Wrangell,Alaska,"2,541.5","6,582",920.6,"2,384","3,462.1","8,967","2,369"
3,4, Anchorage,Alaska,"1,704.7","4,415",256.3,664,"1,961.0","5,079","291,826"
4,5, Jacksonville,Florida,747.0,"1,935",127.6,330,874.6,"2,265","821,784"
5,6, Anaconda,Montana,736.5,"1,908",4.7,12,741.2,"1,920","9,298"
6,7, Butte,Montana,716.2,"1,855",0.6,1.6,716.8,"1,857","33,525"
7,8,Oklahoma City,Oklahoma,606.4,"1,571",14.4,37,620.8,"1,608","579,999"
8,9,Houston,Texas,599.6,"1,553",27.9,72,627.5,"1,625","2,099,451"
9,10, Phoenix,Arizona,516.7,"1,338",1.2,3.1,517.9,"1,341","1,445,632"
10,11, Nashville,Tennessee,475.1,"1,231",21.7,56,496.8,"1,287","601,222"
11,12,Los Angeles,California,468.7,"1,214",34.0,88,502.7,"1,302","3,792,621"
12,13,San Antonio,Texas,460.9,"1,194",5.8,15,466.7,"1,209","1,327,407"
13,14, Suffolk [note 1]**,Virginia,400.2,"1,037",28.9,75,429.1,"1,111","84,585"
14,15, Buckeye,Arizona,375.3,972,0.1,0.26,375.4,972,"50,876"
15,16,Indianapolis,Indiana,361.4,936,6.6,17,368.0,953,"820,445"
16,17, Chesapeake [note 2]**,Virginia,340.8,883,10.1,26,350.9,909,"222,209"
17,18,Dallas,Texas,340.5,882,45.3,117,385.8,999,"1,197,816"
18,19,Fort Worth,Texas,339.8,880,8.0,21,347.9,901,"741,206"
19,20, Louisville,Kentucky,325.2,842,17.0,44,342.2,886,"597,337"
20,21,San Diego,California,325.2,842,47.2,122,372.4,965,"1,307,402"
21,22, Memphis,Tennessee,315.1,816,8.9,23,324.0,839,"646,889"
22,23, Kansas City,Missouri,315.0,816,4.1,11,319.0,826,"459,787"
23,24,New York City,New York,302.6,784,165.8,429,468.5,"1,213","8,175,133"
24,25, Augusta,Georgia,302.5,783,4.2,11,306.7,794,"195,844"
25,26, Austin,Texas,297.9,772,7.2,19,305.1,790,"790,390"
26,27, Charlotte,North Carolina,297.7,771,2.0,5.2,299.7,776,"731,424"
27,28, Lexington,Kentucky,283.6,735,1.9,4.9,285.6,740,"295,803"
28,29, El Paso,Texas,255.2,661,1.0,2.6,256.3,664,"649,121"
29,30, Virginia Beach [note 3]**,Virginia,249.0,645,248.3,643,497.3,"1,288","437,994"
30,31, Cusseta,Georgia,248.7,644,2.4,6.2,251.2,651,"11,267"
31,32,Chicago,Illinois,227.6,589,6.5,17,234.1,606,"2,695,598"
32,33, Tucson,Arizona,226.7,587,0.3,0.78,227.0,588,"520,116"
33,34, Columbus,Ohio,217.2,563,5.9,15,223.1,578,"787,033"
34,35, Columbus,Georgia,216.4,560,4.6,12,221.0,572,"189,885"
35,36, Valdez,Alaska,216.2,560,59.6,154,275.9,715,"3,976"
36,37, Preston,Georgia,209.1,542,1.1,2.8,210.3,545,"2,799"
37,38, Huntsville,Alabama,209.1,542,1.3,3.4,210.4,545,"180,105"
38,39, Boulder City,Nevada,208.5,540,0.0,0,208.6,540,"15,023"
39,40, California City,California,203.5,527,0.1,0.26,203.6,527,"14,120"
40,41, Tulsa,Oklahoma,196.8,510,4.2,11,201.0,521,"391,906"
41,42, Colorado Springs,Colorado,194.5,504,0.4,1.0,194.9,505,"416,427"
42,43, Goodyear,Arizona,191.5,496,0.0,0,191.5,496,"65,275"
43,44, Albuquerque,New Mexico,187.7,486,1.8,4.7,189.5,491,"545,852"
44,45, Scottsdale,Arizona,183.9,476,0.5,1.3,184.4,478,"217,385"
45,46, Hibbing,Minnesota,181.8,471,4.6,12,186.4,483,"16,361"
46,47, Norman,Oklahoma,178.8,463,10.7,28,189.4,491,"110,925"
47,48, San Jose,California,176.5,457,3.4,8.8,180.0,466,"945,942"
48,49, Peoria,Arizona,174.4,452,3.6,9.3,178.0,461,"154,065"
49,50,New Orleans,Louisiana,169.4,439,180.8,468,350.2,907,"343,829"
50,51, Corpus Christi,Texas,160.6,416,329.0,852,489.6,"1,268","305,215"
51,52, Montgomery,Alabama,159.6,413,2.4,6.2,161.9,419,"205,764"
52,53, Wichita,Kansas,159.3,413,4.3,11,163.6,424,"382,368"
53,54, Aurora,Colorado,154.7,401,0.7,1.8,155.4,402,"325,078"
54,55,Denver,Colorado,153.0,396,1.6,4.1,154.6,400,"600,158"
55,56, Sierra Vista,Arizona,152.3,394,0.3,0.78,152.5,395,"43,888"
56,57, Georgetown,Georgia,151.2,392,9.3,24,160.6,416,"2,513"
57,58, Birmingham,Alabama,146.1,378,2.5,6.5,148.6,385,"212,237"
58,59, Fayetteville,North Carolina,145.8,378,1.9,4.9,147.7,383,"200,564"
59,60, Carson City [note 4]**,Nevada,144.7,375,12.6,33,157.2,407,"55,274"
60,61, Raleigh,North Carolina,142.9,370,1.1,2.8,144.0,373,"403,892"
61,62, Bakersfield,California,142.2,368,1.4,3.6,143.6,372,"347,483"
62,63, Mobile,Alabama,139.1,360,40.7,105,179.8,466,"195,111"
63,64,Detroit,Michigan,138.8,359,4.1,11,142.9,370,"713,777"
64,65, Bunnell,Florida,137.5,356,1.1,2.8,138.6,359,"2,676"
65,66, Chattanooga,Tennessee,137.2,355,7.4,19,144.5,374,"167,674"
